age,workclass,marital_status,occupation,race,sex,native_country,income
15-19,Private,Married-civ-spouse,Handlers-cleaners,White,Male,North America,0
15-19,Private,Married-civ-spouse,Handlers-cleaners,White,Male,North America,0
15-19,Private,Never-married,Tech-support,White,Male,United-States,0
15-19,Private,Never-married,Tech-support,White,Male,United-States,0
15-19,Private,Never-married,Tech-support,White,Male,United-States,0
15-19,Private,Never-married,Tech-support,White,Male,United-States,0
15-19,Private,Never-married,Tech-support,White,Male,United-States,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
15-19,Non-Government,spouse not present,Craft-repair,White,Male,North America,0
19,Private,Never-married,Prof-specialty,White,Male,United-States,0
19,Private,Never-married,Prof-specialty,White,Male,United-States,0
19,Private,Never-married,Prof-specialty,White,Male,United-States,0
20,Non-Government,Never-married,Prof-specialty,White,Male,United-States,0
20,Non-Government,Never-married,Prof-specialty,White,Male,United-States,0
20,Non-Government,Never-married,Prof-specialty,White,Male,United-States,0
20,Non-Government,Never-married,Prof-specialty,White,Male,United-States,0
20,Non-Government,Never-married,Prof-specialty,White,Male,United-States,0
20,Non-Government,Never-married,Prof-specialty,White,Male,United-States,0
20,Non-Government,Never-married,Prof-specialty,White,Male,United-States,0
15-19,Private,Never-married,Machine-op-inspct,White,Male,United-States,0
15-19,Private,Never-married,Machine-op-inspct,White,Male,United-States,0
15-19,Private,Never-married,Machine-op-inspct,White,Male,United-States,0
15-19,Private,Never-married,Machine-op-inspct,White,Male,United-States,0
15-19,Private,Never-married,Machine-op-inspct,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
18,Private,spouse not present,Other-service,White,Male,United-States,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
19,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
20,Private,Never-married,Other-service,White,Male,North America,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Private,Never-married,Adm-clerical,White,Male,*,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Farming-fishing,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Non-Government,Never-married,Transport-moving,White,Male,United-States,0
15-19,Private,Never-married,Protective-serv,White,Male,*,0
15-19,Private,Never-married,Protective-serv,White,Male,*,0
15-19,Private,Never-married,Protective-serv,White,Male,*,0
18,Private,Never-married,Sales,White,Male,United-States,0
18,Private,Never-married,Sales,White,Male,United-States,0
18,Private,Never-married,Sales,White,Male,United-States,0
18,Private,Never-married,Sales,White,Male,United-States,0
18,Private,Never-married,Sales,White,Male,United-States,0
18,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
19,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
20,Private,Never-married,Sales,White,Male,United-States,0
15-19,Private,Never-married,Exec-managerial,White,Male,United-States,0
15-19,Private,Never-married,Exec-managerial,White,Male,United-States,0
15-19,Private,Never-married,Exec-managerial,White,Male,United-States,0
15-19,Private,Never-married,Exec-managerial,White,Male,United-States,0
15-19,Private,Never-married,Exec-managerial,White,Male,United-States,0
15-19,Private,Never-married,Exec-managerial,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
15-19,Private,Never-married,Handlers-cleaners,White,Male,United-States,0
19,State-gov,Never-married,Prof-specialty,White,Male,United-States,0
19,State-gov,Never-married,Prof-specialty,White,Male,United-States,0
19,State-gov,Never-married,Prof-specialty,White,Male,United-States,0
19,State-gov,Never-married,Prof-specialty,White,Male,United-States,0
20,Government,Never-married,Technical,White,Male,United-States,0
20,Government,Never-married,Technical,White,Male,United-States,0
20,Government,Never-married,Technical,White,Male,United-States,0
20,Government,Never-married,Technical,White,Male,United-States,0
15-19,Local-gov,Never-married,Other,White,Male,United-States,0
15-19,Local-gov,Never-married,Other,White,Male,United-States,0
15-19,Local-gov,Never-married,Other,White,Male,United-States,0
15-19,Local-gov,Never-married,Other,White,Male,United-States,0
15-19,Local-gov,Never-married,Other,White,Male,United-States,0
15-19,State-gov,Never-married,Other,White,Male,United-States,0
15-19,State-gov,Never-married,Other,White,Male,United-States,0
15-19,State-gov,Never-married,Other,White,Male,United-States,0
15-19,State-gov,Never-married,Other,White,Male,United-States,0
15-19,State-gov,Never-married,Other,White,Male,United-States,0
15-19,State-gov,Never-married,Other,White,Male,United-States,0
15-19,State-gov,Never-married,Other,White,Male,United-States,0
15-19,State-gov,Never-married,Other,White,Male,United-States,0
15-19,State-gov,Never-married,Other,White,Male,United-States,0
15-19,State-gov,Never-married,Other,White,Male,United-States,0
15-19,Government,Never-married,Nontechnical,White,Male,*,0
15-19,Government,Never-married,Nontechnical,White,Male,*,0
15-19,Government,Never-married,Nontechnical,White,Male,*,0
17,Non-Government,Never-married,Technical,White,Male,United-States,0
17,Non-Government,Never-married,Technical,White,Male,United-States,0
17,Non-Government,Never-married,Technical,White,Male,United-States,0
17,Non-Government,Never-married,Technical,White,Male,United-States,0
17,Non-Government,Never-married,Technical,White,Male,United-States,0
17,Non-Government,Never-married,Technical,White,Male,United-States,0
17,Non-Government,Never-married,Technical,White,Male,United-States,0
17,Non-Government,Never-married,Technical,White,Male,United-States,0
18,Non-Government,Never-married,Technical,White,Male,United-States,0
18,Non-Government,Never-married,Technical,White,Male,United-States,0
18,Non-Government,Never-married,Technical,White,Male,United-States,0
18,Non-Government,Never-married,Technical,White,Male,United-States,0
18,Non-Government,Never-married,Technical,White,Male,United-States,0
18,Non-Government,Never-married,Technical,White,Male,United-States,0
18,Non-Government,Never-married,Technical,White,Male,United-States,0
18,Non-Government,Never-married,Technical,White,Male,United-States,0
18,Non-Government,Never-married,Technical,White,Male,United-States,0
18,Non-Government,Never-married,Technical,White,Male,United-States,0
19,Private,Never-married,Technical,White,Male,United-States,0
19,Private,Never-married,Technical,White,Male,United-States,0
19,Private,Never-married,Technical,White,Male,United-States,0
19,Private,Never-married,Technical,White,Male,United-States,0
19,Private,Never-married,Technical,White,Male,United-States,0
20,Private,Never-married,Technical,White,Male,United-States,0
20,Private,Never-married,Technical,White,Male,United-States,0
20,Private,Never-married,Technical,White,Male,United-States,0
18,Private,Never-married,Technical,White,Male,United-States,0
18,Private,Never-married,Technical,White,Male,United-States,0
18,Private,Never-married,Technical,White,Male,United-States,0
18,Private,Never-married,Technical,White,Male,United-States,0
18,Private,Never-married,Technical,White,Male,United-States,0
18,Private,Never-married,Technical,White,Male,United-States,0
18,Private,Never-married,Technical,White,Male,United-States,0
18,Private,Never-married,Technical,White,Male,United-States,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
19,Non-Government,Never-married,Technical,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,Never-married,Craft-repair,White,Male,North America,0
20,Private,spouse not present,Machine-op-inspct,White,Male,United-States,0
20,Private,spouse not present,Machine-op-inspct,White,Male,United-States,0
20,Private,spouse not present,Machine-op-inspct,White,Male,United-States,0
20,Private,spouse not present,Machine-op-inspct,White,Male,United-States,0
20,Private,spouse not present,Machine-op-inspct,White,Male,United-States,0
20,Private,spouse not present,Machine-op-inspct,White,Male,United-States,0
20,Private,spouse not present,Machine-op-inspct,White,Male,United-States,0
20,Private,spouse not present,Machine-op-inspct,White,Male,United-States,0
20,Private,spouse not present,Machine-op-inspct,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,North America,0
15-19,Non-Government,Never-married,Technical,White,Male,North America,0
15-19,Non-Government,Never-married,Technical,White,Male,North America,0
15-19,Non-Government,Never-married,Technical,White,Male,North America,0
15-19,Non-Government,Never-married,Technical,White,Male,North America,0
15-19,Non-Government,Never-married,Technical,White,Male,North America,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Private,Never-married,Technical,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,United-States,0
15-19,Non-Government,Never-married,Technical,White,Male,United-States,0
15-19,Government,Never-married,Technical,White,Male,United-States,0
15-19,Government,Never-married,Technical,White,Male,United-States,0
15-19,Government,Never-married,Technical,White,Male,United-States,0
15-19,Government,Never-married,Technical,White,Male,United-States,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
17,Non-Government,Never-married,Other-service,White,Male,*,0
18,Private,Never-married,Other-service,White,Male,*,0
18,Private,Never-married,Other-service,White,Male,*,0
